公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利,工作年限,经验,salary,月工资
北京弘合柏基金融信息服务有限责任公司,有利网,500-2000人,A轮,武侯区,中级JAVA开发工程师,3-5年,本科,12k-18k,"六险一金,互联网金融,周末双休,大平台","['3', '5']",4.0,"['12', '18']",13.5
成都恒信博达科技有限公司,恒信博达,50-150人,不需要融资,高新区,高级JAVA研发工程师,5-10年,本科,15k-25k,"互联网金融,大数据,平台好,福利丰厚","['5', '10']",7.5,"['15', '25']",17.5
成都佳发安泰科技股份有限公司,成都佳发,150-500人,上市公司,武侯区,高级JAVA研发工程师,3-5年,本科,8k-12k,"周末双休,带薪年假,六险一金,节日福利","['3', '5']",4.0,"['8', '12']",9.0
北京慧友云商科技有限公司,慧友云商,50-150人,B轮,武侯区,java开发,1-3年,本科,8K-12K,"""""","['1', '3']",2.0,"['8', '12']",9.0
四川中清科华云联科技有限公司,中清云联,50-150人,不需要融资,高新区,java工程师,3-5年,本科,10k-15k,"扁平化,弹性工作,餐饮免费,提升空间大","['3', '5']",4.0,"['10', '15']",11.25
成都柠檬时光科技有限公司,柠檬科技,150-500人,天使轮,武侯区,高级JAVA开发工程师,3-5年,本科,15k-20k,"周末双休,发展空间大,福利待遇忧,员工餐","['3', '5']",4.0,"['15', '20']",16.25
中国电子进出口有限公司,中电进出口,500-2000人,不需要融资,高新区,Java开发–成都研发（初、中级）,3-5年,本科,10k-16k,项目奖,"['3', '5']",4.0,"['10', '16']",11.5
成都泰瑞亚科技有限公司,TYRIA,50-150人,天使轮,高新区,高级JAVA开发工程师,5-10年,本科,8k-16k,"福利完善,弹性工作,已融资,创业机会","['5', '10']",7.5,"['8', '16']",10.0
成都市米彩科技有限公司,成都市米彩科技有限公司,150-500人,不需要融资,高新区,Java高级工程师,3-5年,本科,10k-15k,"五险一金,年度旅游,包三餐,节日福利","['3', '5']",4.0,"['10', '15']",11.25
成都尼毕鲁科技股份有限公司,tap4fun,150-500人,不需要融资,高新区,JAVA工程师,1-3年,本科,8k-12k,"六险一金,发展空间大,薪资待遇优,团队氛围好","['1', '3']",2.0,"['8', '12']",9.0
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,武侯区,java开发工程师-成都,3-5年,大专,10k-14k,"弹性工作制,六险一金","['3', '5']",4.0,"['10', '14']",11.0
广州市骑鹅游信息技术咨询服务有限公司,骑鹅旅行,50-150人,A轮,高新区,Java工程师,3-5年,本科,8k-14k,员工期权 晋升空间 定期体检 零食饮料,"['3', '5']",4.0,"['8', '14']",9.5
深圳市顶聚科技有限公司,顶聚科技,15-50人,未融资,高新区,JAVA高级开发工程师,5-10年,本科,10k-20k,"五险一金,项目奖金,带薪年假,节日福利","['5', '10']",7.5,"['10', '20']",12.5
四川久远银海软件股份有限公司,久远银海,500-2000人,上市公司,锦江区,java开发工程师,3-5年,本科,6k-10k,五险一金 年终奖 周末双休 定期体检,"['3', '5']",4.0,"['6', '10']",7.0
北京创锐文化传媒有限公司,聚美优品,2000人以上,上市公司,高新区,Java高级工程师,3-5年,本科,10k-18k,"五险一金,餐饮补贴","['3', '5']",4.0,"['10', '18']",12.0
成都二次元动漫有限公司,二次元动漫,150-500人,不需要融资,高新区,JAVA开发工程师,3-5年,本科,7k-10k,"六险一金,节日福利,周末双休,带薪年假","['3', '5']",4.0,"['7', '10']",7.75
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,锦江区,java开发工程师,3-5年,本科,7k-14k,"五险一金,弹性工作,带薪年假,年度体检","['3', '5']",4.0,"['7', '14']",8.75
北京汇通天下物联科技有限公司,G7,500-2000人,C轮,高新区,JAVA开发工程师J11179,3-5年,本科,15k-25k,物联网 大数据 技术型团队,"['3', '5']",4.0,"['15', '25']",17.5
成都誉境金服科技有限公司,誉境金服,15-50人,天使轮,高新区,高级java开发工程师,3-5年,本科,10k-20k,"牛人多,年终奖多,发展潜力大,福利待遇多","['3', '5']",4.0,"['10', '20']",12.5
成都誉境金服科技有限公司,誉境金服,15-50人,天使轮,高新区,高级java开发工程师,3-5年,本科,10k-20k,"牛人多,年终奖多,发展潜力大,福利待遇多","['3', '5']",4.0,"['10', '20']",12.5
中电科华云信息技术有限公司,电科华云,150-500人,A轮,高新区,中级Java开发工程师,5-10年,大专,8k-12k,"公安,学习平台广,云计算,大数据","['5', '10']",7.5,"['8', '12']",9.0
重庆新想乐文化传媒有限责任公司,播了么,500-2000人,D轮及以上,高新区,高级Java工程师,3-5年,本科,12K-23K,"五险一金,带薪假期,项目奖金,节日福利","['3', '5']",4.0,"['12', '23']",14.75
四川汇诚智杰科技有限公司,汇诚智杰,15-50人,未融资,武侯区,JAVA高级工程师,3-5年,大专,8K-15K,五险一金 周末双休 节假日福利,"['3', '5']",4.0,"['8', '15']",9.75
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,武侯区,Java高级开发工程师,3-5年,本科,9k-18k,"上市公司,五险一金,年终奖","['3', '5']",4.0,"['9', '18']",11.25
四川斐讯信息技术有限公司,斐讯技术,2000人以上,不需要融资,高新区,软件工程师（java）,3-5年,本科,16k-25k,"五险一金,绩效奖金,定期体检,工作餐","['3', '5']",4.0,"['16', '25']",18.25
成都金铠甲科技有限公司,金铠甲科技,50-150人,不需要融资,高新区,Java开发工程师,1-3年,本科,5k-10k,五险一金 餐补 带薪年假 定期体检 节日福利,"['1', '3']",2.0,"['5', '10']",6.25
成都诺一电气有限责任公司,易电云商,50-150人,A轮,锦江区,java工程师,3-5年,大专,10k-14k,"扁平化管理,双休,氛围好,培训完善","['3', '5']",4.0,"['10', '14']",11.0
四川伯乐帮科技有限公司,伯乐帮,15-50人,未融资,郫县,java工程师,3-5年,本科,10K-16K,上市公司，各种补贴，食堂，行业前景好,"['3', '5']",4.0,"['10', '16']",11.5
成都掌控者网络科技有限公司,掌控者,50-150人,不需要融资,高新区,Java 技术经理 / 架构师,5-10年,本科,12k-22k,"五险一金,定期体检,节日福利,定期团建","['5', '10']",7.5,"['12', '22']",14.5
成都市米彩科技有限公司,成都市米彩科技有限公司,150-500人,不需要融资,高新区,Java技术经理,5-10年,本科,15k-20k,"五险一金,包吃三餐,年终奖,地铁口","['5', '10']",7.5,"['15', '20']",16.25
北京四维图新科技股份有限公司,四维图新,2000人以上,上市公司,武侯区,Java软件工程师,5-10年,本科,12k-24k,六险一金、弹性工作、定期体检,"['5', '10']",7.5,"['12', '24']",15.0
武汉佰钧成技术有限责任公司,武汉佰钧成技术有限公司,2000人以上,不需要融资,高新区,java开发工程师-成都,3-5年,大专,10k-14k,"技术新,开发环境好,工作氛围好,平台宽","['3', '5']",4.0,"['10', '14']",11.0
北京世纪超星信息技术发展有限责任公司,世纪超星,2000人以上,不需要融资,武侯区,高级java工程师,3-5年,本科,12k-20k,"年终奖金,节日福利,带薪年假,周末双休","['3', '5']",4.0,"['12', '20']",14.0
北京太合音乐文化发展有限公司,太合音乐（百度音乐）,500-2000人,不需要融资,高新区,java开发工程师,3-5年,大专,9k-12k,"弹性上下班,五险一金,补充医疗,饭补","['3', '5']",4.0,"['9', '12']",9.75
中电科华云信息技术有限公司,电科华云,150-500人,A轮,高新区,java开发工程师,3-5年,不限,8k-13k,"云平台,大数据","['3', '5']",4.0,"['8', '13']",9.25
成都柠檬时光科技有限公司,柠檬科技,150-500人,天使轮,高新区,高级Java开发工程师,3-5年,大专,12k-18k,高薪资、优越的工作地理位置及环境,"['3', '5']",4.0,"['12', '18']",13.5
四川仁众投资管理有限公司,仁众管理,500-2000人,不需要融资,锦江区,JAVA开发工程师,3-5年,本科,10k-15k,"员工食堂,年底双薪,员工旅游,员工体检","['3', '5']",4.0,"['10', '15']",11.25
上海华钦信息科技股份有限公司,CLPS,500-2000人,未融资,高新区,Senior Developer-Java,5-10年,本科,10k-18k,"英语,文化,人性化","['5', '10']",7.5,"['10', '18']",12.0
